"predictor_count","press","pred_rsq","cv_rmse","cv_rsquared","cv_mae","bic","bic_sas","aic","predictors","press_pct_increase","cv_rmse_pct_increase","cv_mae_pct_increase","bic_pct_increase","aic_pct_increase","cv_rsq_pct_decrease","pred_rsq_pct_decrease"
16,150.985291579944,0.925587779419352,0.180892326586744,0.925806909863109,0.134219167091503,-2495.82889370057,-15584.040058974,-2688.90187948219,"Age  highway_MPG  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Performance  Luxury  Hatchback  Hybrid  Diesel  Exotic",1.38031000667966,0.681823957188707,0.477795053509429,1.95306761800379,2.27468600959697,0.115959752096622,0.109338865140899
17,149.849918708442,0.926147341318868,0.18018169436687,0.926478021855179,0.134006375966669,-2522.12258229934,-15610.3337475727,-2721.63133427367,"Age  highway_MPG  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Performance  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Popularity",0.617954597874137,0.286297240220283,0.318497514315963,0.920138031114615,1.08516835905021,0.0435543978995795,0.0489502025727427
16,152.057664005899,0.925059266922077,0.181502255426361,0.925280768717148,0.134682808220851,-2462.23954269836,-15550.4507079718,-2655.31252847998,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover",2.10036325059718,1.02130075653918,0.82488138538375,3.27260231638853,3.49545568456081,0.172724400145162,0.166376635025869
4,200.525306643849,0.901172271856139,0.208431794518919,0.901365633583113,0.159045731742152,-1308.21317188745,-14396.4243371608,-1379.00660000738,"Engine_Cylinders  Engine_HP  Luxury  Exotic",34.6443586590945,16.0098586756337,19.0632067268662,48.6077396054564,49.881453834786,2.75289559439038,2.74429283348568
6,183.753991687499,0.909437916641139,0.199498711084557,0.909752791020399,0.149398501205398,-1692.10369938613,-14780.3148646595,-1782.20442608422,"Engine_Cylinders  Engine_HP  Transmission_Type  Luxury  Hybrid  Exotic",23.3831219405884,11.0378449329607,11.841194597666,33.5268625923115,35.2276524245259,1.84801665893805,1.85225348223422
7,177.926578304636,0.912309923348035,0.196346151544231,0.912623865954853,0.146532052605733,-1821.31162386384,-14909.5227891372,-1930.71964914009,"Engine_Cylinders  Engine_HP  Transmission_Type  Driven_Wheels  Luxury  Hybrid  Exotic",19.4702575210837,9.28317987533951,9.69534284512071,28.4510175828804,29.8300226648692,1.53826031422664,1.54230270812661
8,172.776722351789,0.914847999826292,0.193563858797112,0.914945046715662,0.143876423570686,-1928.07767939231,-15016.2888446657,-2063.22876943944,"Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Driven_Wheels  Luxury  Hybrid  Exotic",16.0123445844914,7.73459949137011,7.70731270230432,24.2567860578292,25.0141178947256,1.28783129920704,1.26839012731985
9,169.321640885428,0.916550816580882,0.191551634545276,0.916712607839444,0.143008624310304,-2008.92454143664,-15097.13570671,-2156.94716386921,"Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Vehicle_Size  Driven_Wheels  Luxury  Hybrid  Exotic",13.6924018503839,6.61462712046595,7.05766959899991,21.080772335028,21.6080213048087,1.09713154902423,1.08461988403272
10,163.290760655531,0.919523100736951,0.188075495031985,0.919879921721958,0.139897832733651,-2170.50262554674,-15258.7137908201,-2324.96101417203,"Engine_Cylinders  Engine_HP  Transmission_Type  Vehicle_Style  Vehicle_Size  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic",9.6429179508457,4.67986253906174,4.72890027889203,14.7332877269521,15.5017344220974,0.755414389702592,0.763847034571963
11,161.424497598893,0.920442877602491,0.187038811173162,0.920609644043499,0.139295590488163,-2217.81635050333,-15306.0275157767,-2378.71050532134,"Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Luxury  Hybrid  Diesel  Exotic",8.38980034411641,4.10286060789813,4.27805578159735,12.8746003773234,13.5482656326739,0.676685647285432,0.664583494972307
13,154.007833387339,0.924098137313604,0.182685351833829,0.924472267861434,0.135298849531494,-2422.15276023489,-15510.3639255083,-2595.91844743834,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Luxury  Hatchback  Hybrid  Diesel  Exotic",3.4098204459774,1.67979360954578,1.28605599923785,4.84738416923433,5.65407116371057,0.259952450781086,0.270103017505588
14,152.977337147242,0.924606011376854,0.182125095862067,0.924800750265407,0.135143594733978,-2446.51882710892,-15534.7299923823,-2626.7202805051,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic",2.71788530985538,1.36796394720306,1.16983072334117,3.89017988442002,4.53461089969075,0.224512933847636,0.215292574801726
15,152.779715764373,0.924703407923098,0.181914138639307,0.924932001760549,0.135028176602282,-2445.47942208952,-15533.6905873629,-2632.11664167842,"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover",2.5851908145866,1.25054847488782,1.08342756920646,3.93101220025382,4.33848582198065,0.210352389695589,0.204781410314816
16,150.805667358259,0.925676306169645,0.180765740681578,0.925937423879745,0.13448269909975,-2499.71629728513,-15587.9274625585,-2692.78928306675,"Age  highway_MPG  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Performance  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic",1.25969985261414,0.611368233278893,0.675077719528455,1.8003536249256,2.13340241021857,0.101878773491121,0.0997849408005858
